layer,aggregation,language,r2,sse,gamma,lam,alpha,A,C,t_change
layer_29,last,Arabic,0.9859641520266896,396.82005894754866,0.734438942248848,115.06550654782262,8.260210870149779,609.9624792794497,58.64283632040928,241.0
layer_29,last,Chinese,0.9426221106543662,2857.2766022668156,0.734438942248848,115.06550654782262,100.15794847976602,1177.6130243802459,38.14848104004886,241.0
layer_29,last,English,0.9466253010004777,3593.4764881484175,0.734438942248848,115.06550654782262,41.437484755120074,1216.3906104199775,73.38571623528783,241.0
layer_29,last,Finnish,0.9560812294298009,1069.5065334684716,0.734438942248848,115.06550654782262,9.717181458211925,564.9063131759309,53.37805540018789,241.0
layer_29,last,French,0.9693626971515548,1973.5120387664676,0.734438942248848,115.06550654782262,33.1562661065526,1024.7063792763029,83.82146151797416,241.0
layer_29,last,German,0.9724107983519038,3075.4436143426656,0.734438942248848,115.06550654782262,46.66157491856247,1388.7379995252757,108.68015264615026,241.0
layer_29,last,Hindi,0.9884722168229749,290.4071260989556,0.734438942248848,115.06550654782262,4.710615348837735,569.7133468680054,55.61565279017091,241.0
layer_29,last,Indonesian,0.9569690422910756,677.627233043407,0.734438942248848,115.06550654782262,11.160979041540461,420.2703230728771,43.832929280520744,241.0
layer_29,last,Italian,0.978631819705126,1695.878489086104,0.734438942248848,115.06550654782262,27.34306190653131,1085.31105668917,95.74534884719735,241.0
layer_29,last,Japanese,0.97428835252605,2481.712963929823,0.734438942248848,115.06550654782262,85.29625118472661,1582.7700649985616,76.94699518632913,241.0
layer_29,last,Spanish,0.9718087158625279,1815.1417002849605,0.734438942248848,115.06550654782262,27.79617793543325,918.9209597391787,87.71601133411495,241.0
layer_29,last,Swahili,0.9065646097940725,528.0554887779308,0.734438942248848,115.06550654782262,7.81252880222924,274.78432486874607,24.728954114701907,241.0
layer_29,last,Turkish,0.9565762034756975,932.7106566123522,0.734438942248848,115.06550654782262,13.004009556793527,700.7789553713213,40.72114204834493,241.0
layer_29,last,Vietnamese,0.967708656148812,328.8416364075854,0.734438942248848,115.06550654782262,12.523458119020423,373.77376760951506,34.53564825309322,241.0
