layer,aggregation,language,r2,sse,gamma,lam2,lam3,alpha,A,C2,C3_decay,C3_growth,t_change,t_change2
layer_31,last,Arabic,0.8259670655550273,163.82852307125077,3.8647241909950414,4893.307608767518,7347.9999996438655,4.23128721781672,13146689490.458742,5.808473340401274,0.0,5.864384790068502,630.0,7652.0
layer_31,last,Chinese,0.9540151935790587,242.13721517301263,3.8647241909950414,4893.307608767518,7347.9999996438655,11.95853815067053,71371919314.64783,25.233078729660292,-10.922386241283684,7.027767843281151e-20,630.0,7652.0
layer_31,last,English,0.9870958084913919,283.2028905764639,3.8647241909950414,4893.307608767518,7347.9999996438655,24.362661210517498,142345617168.82037,19.59249634637207,-33.95323978866585,2.474337094523746e-19,630.0,7652.0
layer_31,last,Finnish,0.9432162614087469,356.1389524889321,3.8647241909950414,4893.307608767518,7347.9999996438655,16.728948044183905,78684387888.33438,16.17654569481932,-8.661850333229015,0.0,630.0,7652.0
layer_31,last,French,0.9314998696723316,640.2979846104869,3.8647241909950414,4893.307608767518,7347.9999996438655,13.802939471872465,84278148159.75702,48.827775158854415,-39.950502191147145,2.5084086639548054e-19,630.0,7652.0
layer_31,last,German,0.9669147528107024,401.09669801786936,3.8647241909950414,4893.307608767518,7347.9999996438655,20.856236030821098,107120249922.01343,33.21497046905854,-33.598453731881605,2.3062043632162177e-19,630.0,7652.0
layer_31,last,Hindi,0.8594695533819627,194.76493640685285,3.8647241909950414,4893.307608767518,7347.9999996438655,1.0436499044577243,12556744384.812017,25.511497762730958,-14.494877851461998,8.523537865445477e-20,630.0,7652.0
layer_31,last,Indonesian,0.8984188937830667,443.08225495669166,3.8647241909950414,4893.307608767518,7347.9999996438655,12.139772710832005,46257731147.79286,41.31522167598952,-24.96589178023782,2.8552904727440974e-20,630.0,7652.0
layer_31,last,Italian,0.948085689852706,207.89509215635928,3.8647241909950414,4893.307608767518,7347.9999996438655,12.80670520171904,61383087445.13483,24.243035983761594,-13.790560898618203,7.363189581671403e-20,630.0,7652.0
layer_31,last,Japanese,0.9528471385158254,437.3810002556139,3.8647241909950414,4893.307608767518,7347.9999996438655,12.023500750216687,91801465495.67734,40.562299560394415,-18.59687087338282,0.0,630.0,7652.0
layer_31,last,Spanish,0.9576895675543853,340.4363824405954,3.8647241909950414,4893.307608767518,7347.9999996438655,19.615186208810318,85618836021.5006,26.16259051228798,-29.931231024023774,2.409126310933128e-19,630.0,7652.0
layer_31,last,Swahili,0.7366767673553276,249.4387733402456,3.8647241909950414,4893.307608767518,7347.9999996438655,5.1191359691813965,13626298884.112621,4.2095000040258315,0.0,5.874747002660875,630.0,7652.0
layer_31,last,Turkish,0.9697838579138051,94.5233244263101,3.8647241909950414,4893.307608767518,7347.9999996438655,7.661732854167324,54923076854.09026,3.74554590303789,0.0,1.6236698986425897,630.0,7652.0
layer_31,last,Vietnamese,0.6277891135799631,253.47149234387524,3.8647241909950414,4893.307608767518,7347.9999996438655,8.851184445145567,12054412695.720621,8.023904303669271,0.0,2.4073672354802644,630.0,7652.0
