predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer_collapse,ckpt_collapse
abs_diff,accuracy_majority,0,per_ckpt,step1194000-tokens5014B,72,0.0842,0.4735,0.0622,0.5934,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step1432000-tokens6014B,72,0.0898,0.4505,0.0641,0.5814,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step1670000-tokens7014B,72,0.1311,0.3137,0.1183,0.3477,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step1678000-tokens7047B,72,0.0941,0.4316,0.0747,0.5275,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step1700000-tokens7232B,72,0.0953,0.4296,0.0781,0.5115,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step1750000-tokens7652B,72,0.1064,0.3856,0.0881,0.4615,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step1800000-tokens8072B,72,0.1033,0.3986,0.076,0.5275,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step1850000-tokens8492B,72,0.0825,0.4995,0.07,0.5514,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step1900000-tokens8912B,72,0.0577,0.6314,0.0583,0.6144,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step1950000-tokens9332B,72,0.05,0.6933,0.0566,0.6404,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2000000-tokens9752B,72,0.0868,0.4655,0.071,0.5465,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2050000-tokens10172B,72,0.0922,0.4416,0.0675,0.5704,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2100000-tokens10592B,72,0.0934,0.4416,0.0805,0.4975,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2150000-tokens11012B,72,0.0776,0.5165,0.0704,0.5554,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2200000-tokens11432B,72,0.0894,0.4505,0.0727,0.5385,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2250000-tokens11852B,72,0.0714,0.5634,0.0644,0.5874,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2300000-tokens12272B,72,0.0966,0.4256,0.072,0.5375,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2350000-tokens12692B,72,0.1008,0.4096,0.0672,0.5704,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2400000-tokens13112B,72,0.0937,0.4505,0.0687,0.5674,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2450000-tokens13532B,72,0.0845,0.4855,0.0648,0.5674,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2500000-tokens13952B,72,0.0713,0.5664,0.0581,0.6274,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2550000-tokens14372B,72,0.0779,0.5335,0.0591,0.6194,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2600000-tokens14792B,72,0.0781,0.5355,0.0588,0.6214,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,step2627139-tokens15T,72,0.077,0.5385,0.0602,0.6154,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,main,72,0.0706,0.5614,0.055,0.6484,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step50000-tokens210B,72,0.0255,0.8462,0.0596,0.6623,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step100000-tokens420B,72,0.075,0.6294,0.1046,0.5245,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step150000-tokens630B,72,0.0609,0.6813,0.0685,0.6653,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step200000-tokens840B,72,0.0651,0.6533,0.0797,0.6184,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step250000-tokens1050B,72,0.0391,0.7782,0.0551,0.7243,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step300000-tokens1260B,72,0.0363,0.7802,0.0471,0.7552,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step350000-tokens1470B,72,0.0427,0.7502,0.0644,0.6603,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step400000-tokens1680B,72,0.0364,0.7762,0.0468,0.7473,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step450000-tokens1890B,72,0.0319,0.8002,0.0495,0.7363,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step500000-tokens2100B,72,0.0419,0.7383,0.0527,0.7243,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step550000-tokens2310B,72,0.0265,0.8242,0.0418,0.7772,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step600000-tokens2520B,72,0.011,0.9291,0.0338,0.8222,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step650000-tokens2730B,72,0.0134,0.9121,0.0236,0.8681,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step700000-tokens2940B,72,-0.0141,0.9101,0.0155,0.9081,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step750000-tokens3150B,72,-0.0109,0.9271,0.0106,0.9441,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step800000-tokens3360B,72,-0.0199,0.8801,0.0171,0.9061,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step850000-tokens3570B,72,0.0119,0.9201,0.0127,0.9291,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step900000-tokens3780B,72,0.0301,0.7962,0.0341,0.8172,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step950000-tokens3990B,72,0.0313,0.7962,0.0305,0.8312,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step1000000-tokens4200B,72,0.0309,0.7972,0.0329,0.8212,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step1194000-tokens5014B,72,0.0378,0.7752,0.0313,0.8242,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step1432000-tokens6014B,72,0.0307,0.8092,0.0278,0.8402,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step1670000-tokens7014B,72,0.0925,0.5744,0.0998,0.5604,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step1678000-tokens7047B,72,0.0357,0.7692,0.0433,0.7712,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step1700000-tokens7232B,72,0.0305,0.8022,0.0443,0.7662,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step1750000-tokens7652B,72,0.0388,0.7742,0.0609,0.6873,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step1800000-tokens8072B,72,0.032,0.8072,0.0334,0.8202,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step1850000-tokens8492B,72,-0.0082,0.9421,0.0182,0.8981,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step1900000-tokens8912B,72,-0.0278,0.8332,0.0128,0.9401,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step1950000-tokens9332B,72,-0.0121,0.9371,0.0184,0.9251,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2000000-tokens9752B,72,0.0292,0.8112,0.0413,0.7862,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2050000-tokens10172B,72,0.0351,0.7752,0.0337,0.8222,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2100000-tokens10592B,72,0.0296,0.8222,0.0455,0.7702,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2150000-tokens11012B,72,-0.0011,0.993,0.026,0.8591,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2200000-tokens11432B,72,0.0329,0.7942,0.0396,0.7912,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2250000-tokens11852B,72,-0.0059,0.969,0.0168,0.9141,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2300000-tokens12272B,72,0.0216,0.8581,0.0202,0.8811,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2350000-tokens12692B,72,0.0271,0.8322,0.0188,0.8971,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2400000-tokens13112B,72,0.0283,0.8501,0.0254,0.8701,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2450000-tokens13532B,72,0.0193,0.8891,0.0351,0.8192,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2500000-tokens13952B,72,0.0105,0.9371,0.0252,0.8651,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2550000-tokens14372B,72,0.0205,0.8811,0.0222,0.8831,average_rankme,none
