model,original_language,target_language,transfer_score,transfer_margin,overall_score,overall_margin
FuxiTranyu-8B-DPO,de,en,0.29112081513828236,0.38295134778908874,0.06944444444444445,0.12455982998467369
FuxiTranyu-8B-DPO,de,es,0.26491994177583694,0.3720021988717347,0.06319444444444444,0.11922086776996949
FuxiTranyu-8B-DPO,de,fr,0.2375545851528384,0.3587624227421314,0.056666666666666664,0.11328816007310565
FuxiTranyu-8B-DPO,de,hi,0.16470160116448324,0.31267315512703403,0.039288194444444445,0.09519534205452843
FuxiTranyu-8B-DPO,de,id,0.10434081929715117,0.25770293997392496,0.024889632936507936,0.07633509184794596
FuxiTranyu-8B-DPO,de,it,0.08151382823871907,0.23066028114369014,0.019444444444444445,0.06765843868859914
FuxiTranyu-8B-DPO,de,ja,0.32663755458515287,0.3953469242803402,0.07791666666666666,0.1313373859732348
FuxiTranyu-8B-DPO,de,zh,0.4573302728324562,0.4199558483793882,0.10909232549857549,0.1527571508515013
FuxiTranyu-8B-DPO,en,de,0.4529971552424817,0.2282809663943931,0.1786338141025641,0.12021704068760354
FuxiTranyu-8B-DPO,en,es,0.5176515268800557,0.22915343743644942,0.2041294642857143,0.12649980289155752
FuxiTranyu-8B-DPO,en,fr,0.4311760588819652,0.22711374851545368,0.1700289351851852,0.11789860893640723
FuxiTranyu-8B-DPO,en,hi,0.25457846730073624,0.1997740036076162,0.10038986354775828,0.09431654636313314
FuxiTranyu-8B-DPO,en,id,0.4088153616905987,0.2254510935151108,0.1612112713675214,0.1154090276398113
FuxiTranyu-8B-DPO,en,it,0.5110356917082736,0.22924051145506077,0.2015205916768417,0.1258946754825534
FuxiTranyu-8B-DPO,en,ja,0.47070738346815283,0.2289025315495576,0.18561762311762312,0.12202240334555349
FuxiTranyu-8B-DPO,en,zh,0.6424937535747614,0.21978773051055028,0.2533594491927826,0.1365023496962687
FuxiTranyu-8B-DPO,es,de,0.5496787075694318,0.27890399675642447,0.1609364370748299,0.1273203207347909
FuxiTranyu-8B-DPO,es,en,0.6880795062624796,0.2597049969590444,0.2014578018707483,0.13896776818391088
FuxiTranyu-8B-DPO,es,fr,0.5996956495431717,0.27466267393067423,0.17558053429705217,0.13182124338906784
FuxiTranyu-8B-DPO,es,hi,0.4280329158346947,0.2773723344521491,0.12532064909297053,0.11471200130183437
FuxiTranyu-8B-DPO,es,id,0.7070490712167966,0.2551298403521571,0.20701176303854874,0.14037959543456877
FuxiTranyu-8B-DPO,es,it,0.6662878925394808,0.2643357981363111,0.19507759353741497,0.13729471031791846
FuxiTranyu-8B-DPO,es,ja,0.32482846251588304,0.2625264952963613,0.09510416666666666,0.1016417580762635
