model,original_language,target_language,transfer_score,transfer_margin,overall_score,overall_margin
Apertus-8B-Instruct-2509,de,en,0.7091397849462368,0.38830381092812555,0.18319444444444444,0.18954118467487782
Apertus-8B-Instruct-2509,de,es,0.6169354838709679,0.4156419790135255,0.159375,0.17934916101919804
Apertus-8B-Instruct-2509,de,fr,0.5461693548387097,0.42567107507166935,0.14109375000000002,0.17057479945351284
Apertus-8B-Instruct-2509,de,hi,0.34442204301075274,0.4062760367902683,0.08897569444444445,0.13950467920191265
Apertus-8B-Instruct-2509,de,id,0.61889400921659,0.4152356129793482,0.1598809523809524,0.17957954989032388
Apertus-8B-Instruct-2509,de,it,0.5964381720430109,0.41947040202216823,0.1540798611111111,0.1768991397747433
Apertus-8B-Instruct-2509,de,ja,0.2671370967741936,0.37830496137729364,0.06901041666666666,0.12419892457886338
Apertus-8B-Instruct-2509,de,zh,0.3723433376659183,0.4133295278844172,0.09618869556369557,0.14447376869090364
Apertus-8B-Instruct-2509,en,de,0.5822651663405088,0.23277051570828813,0.1907291666666667,0.12330233112474455
Apertus-8B-Instruct-2509,en,es,0.5950886062187433,0.2316797280573231,0.19492966524216523,0.12432877883820344
Apertus-8B-Instruct-2509,en,fr,0.6327986674121703,0.22751085400711604,0.20728212759462758,0.12722019041215885
Apertus-8B-Instruct-2509,en,hi,0.46463919501951223,0.2353956460168498,0.15219912093267357,0.11273760146582482
Apertus-8B-Instruct-2509,en,id,0.6098717112415741,0.23021848114789567,0.19977207977207978,0.1254844851023222
Apertus-8B-Instruct-2509,en,it,0.5550115708383809,0.23455386638303713,0.18180186711436713,0.12104425983261705
Apertus-8B-Instruct-2509,en,ja,0.6691654845601355,0.22206974335536794,0.21919459141681366,0.12983808784501005
Apertus-8B-Instruct-2509,en,zh,0.7092639186572651,0.21432390731965506,0.2323293989960657,0.13254255144315857
Apertus-8B-Instruct-2509,es,de,0.7756618059993414,0.21464558167647155,0.28383219954648525,0.15621089787781284
Apertus-8B-Instruct-2509,es,en,0.7204835492554078,0.23091378558209266,0.26364122732426304,0.15265973242136982
Apertus-8B-Instruct-2509,es,fr,0.7599575901934584,0.21977222626617493,0.27808567176870747,0.15524057367611482
Apertus-8B-Instruct-2509,es,hi,0.3960088305350607,0.2516528596110901,0.14490858843537413,0.12196253344080138
Apertus-8B-Instruct-2509,es,id,0.7086698038304382,0.23380234067328592,0.25931831065759636,0.15184674889879998
Apertus-8B-Instruct-2509,es,it,0.7729100098762564,0.21557460633174716,0.2828252551020408,0.15604314306975975
Apertus-8B-Instruct-2509,es,ja,0.7352989019926801,0.22700946762261912,0.2690625,0.1536525634508156
Apertus-8B-Instruct-2509,es,zh,0.6943879625864173,0.2370393567658691,0.2540922619047619,0.1508382127140265
Apertus-8B-Instruct-2509,fr,de,0.3422610580505318,0.30872584573498896,0.09113997113997115,0.1202651219190215
Apertus-8B-Instruct-2509,fr,en,0.2897446966699045,0.2951769612133733,0.07715550066626621,0.11150246319228714
Apertus-8B-Instruct-2509,fr,es,0.5161135687451478,0.3251710157174817,0.13743478743478743,0.14387358243941234
Apertus-8B-Instruct-2509,fr,hi,0.323345525977105,0.30435775638282914,0.08610299422799422,0.11721805341236635
Apertus-8B-Instruct-2509,fr,id,0.37043550727761254,0.3142272786139753,0.09864248546066728,0.12459978580264593
Apertus-8B-Instruct-2509,fr,it,0.43126509968615234,0.32225121527296724,0.11484066859066858,0.13322794613132374
Apertus-8B-Instruct-2509,fr,ja,0.3699805410331726,0.31414770427068217,0.09852133346451529,0.12453161435084495
Apertus-8B-Instruct-2509,fr,zh,0.4327777598701265,0.3223862864748631,0.11524347166238594,0.13343101967641216
Apertus-8B-Instruct-2509,hi,de,0.3315872698208906,0.17685510068067486,0.08373478956177947,0.06786122096365133
Apertus-8B-Instruct-2509,hi,en,0.33740854138442467,0.17762220694468883,0.0852048187025779,0.06839937234672668
Apertus-8B-Instruct-2509,hi,es,0.269160628534665,0.1666145957212269,0.06797036750186641,0.06166415338103028
Apertus-8B-Instruct-2509,hi,fr,0.2753451119472966,0.1678033426011521,0.06953211749722883,0.06231628074062455
Apertus-8B-Instruct-2509,hi,id,0.3252266902672634,0.1759820396037403,0.08212857050909501,0.06726608656092435
Apertus-8B-Instruct-2509,hi,it,0.34448453005202706,0.17851414884250624,0.08699169798278447,0.06904533979654348
Apertus-8B-Instruct-2509,hi,ja,0.47060945492991935,0.18750580752150972,0.11884166631495291,0.07928105976158047
Apertus-8B-Instruct-2509,hi,zh,0.4406150674864658,0.18650108525674622,0.11126726901686387,0.07704197470321858
Apertus-8B-Instruct-2509,id,de,0.31152462813947823,0.2916691774712059,0.0704473393989523,0.09008169327461392
Apertus-8B-Instruct-2509,id,en,0.5261568197139866,0.31446698604600043,0.11898368445806774,0.11397324835559705
Apertus-8B-Instruct-2509,id,es,0.4978612939933349,0.31489529409065437,0.11258501056888154,0.1112681611029206
