checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
273B,Arabic,m_mmlu,m_mmlu_ar,0.2711943069306931,5,0.25,29.3074,5.1888,0.708963,0.3899,0.6996,0.7459,0.7931,0.8221,0.8486,0.8864,0.9187,0.9534,layer_29,last
283B,Arabic,m_mmlu,m_mmlu_ar,0.2713490099009901,5,0.25,33.4019,5.7932,0.702619,0.3504,0.6845,0.7319,0.7807,0.8108,0.8387,0.8786,0.9128,0.9498,layer_29,last
294B,Arabic,m_mmlu,m_mmlu_ar,0.2666305693069307,5,0.25,38.4135,6.4006,0.712955,0.3326,0.6619,0.714,0.7675,0.8008,0.8312,0.8741,0.9102,0.9487,layer_29,last
304B,Arabic,m_mmlu,m_mmlu_ar,0.2678681930693069,5,0.25,42.5468,6.993,0.709652,0.315,0.6488,0.7031,0.7591,0.7937,0.8251,0.869,0.9062,0.9462,layer_29,last
315B,Arabic,m_mmlu,m_mmlu_ar,0.2646194306930693,5,0.25,42.391,6.9614,0.702328,0.3068,0.6486,0.7032,0.7585,0.7932,0.8245,0.8684,0.9056,0.9456,layer_29,last
325B,Arabic,m_mmlu,m_mmlu_ar,0.26879641089108913,5,0.25,53.0102,7.888,0.680853,0.2665,0.6179,0.674,0.7314,0.7682,0.8018,0.8498,0.891,0.9361,layer_29,last
334B,Arabic,m_mmlu,m_mmlu_ar,0.2670946782178218,5,0.25,51.6194,7.9096,0.696532,0.2784,0.6194,0.6763,0.7364,0.7742,0.8081,0.8558,0.8961,0.9398,layer_29,last
342B,Arabic,m_mmlu,m_mmlu_ar,0.26794554455445546,5,0.25,52.8269,8.1265,0.696221,0.2644,0.6173,0.6744,0.7344,0.7718,0.8058,0.8538,0.8946,0.939,layer_29,last
352B,Arabic,m_mmlu,m_mmlu_ar,0.25920482673267325,5,0.25,54.5986,8.1348,0.69416,0.2685,0.6092,0.6679,0.7291,0.7676,0.8023,0.8514,0.8931,0.938,layer_29,last
363B,Arabic,m_mmlu,m_mmlu_ar,0.26794554455445546,5,0.25,59.7455,8.5467,0.687366,0.2501,0.5937,0.6541,0.7174,0.7577,0.794,0.8448,0.8879,0.9346,layer_29,last
373B,Arabic,m_mmlu,m_mmlu_ar,0.2636912128712871,5,0.25,58.613,8.7219,0.695481,0.2399,0.5977,0.6572,0.7221,0.7622,0.7984,0.8489,0.8914,0.9371,layer_29,last
384B,Arabic,m_mmlu,m_mmlu_ar,0.2592821782178218,5,0.25,60.8849,9.0035,0.691203,0.2457,0.5918,0.6532,0.7188,0.7592,0.7957,0.8467,0.8896,0.9358,layer_29,last
394B,Arabic,m_mmlu,m_mmlu_ar,0.2597462871287129,5,0.25,58.9637,8.9348,0.696336,0.2452,0.5963,0.6582,0.7236,0.764,0.8001,0.8504,0.8926,0.9377,layer_29,last
405B,Arabic,m_mmlu,m_mmlu_ar,0.2610612623762376,5,0.25,64.1988,9.3927,0.690034,0.244,0.5837,0.6466,0.7133,0.7548,0.7922,0.844,0.8875,0.9345,layer_29,last
415B,Arabic,m_mmlu,m_mmlu_ar,0.2635365099009901,5,0.25,61.5421,9.1606,0.696765,0.2427,0.5874,0.6504,0.7181,0.76,0.7971,0.8482,0.891,0.9368,layer_29,last
