checkpoint,dataset,layer,aggregation,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var
10B,English,layer_8,mean,42.5318,5.973,0.886385,0.3968,0.563,0.6459,0.737,0.7945,0.8493,0.9119,0.9487,0.9759
10B,English,layer_9,mean,40.3719,5.3739,0.871801,0.4218,0.5712,0.6488,0.7361,0.7925,0.8462,0.9086,0.9461,0.9743
10B,English,layer_10,mean,38.0287,5.0453,0.860855,0.4367,0.579,0.6552,0.7418,0.7974,0.8495,0.9094,0.9459,0.9739
10B,English,layer_11,mean,34.6188,4.5178,0.849557,0.4638,0.593,0.6641,0.747,0.8005,0.8504,0.9088,0.9451,0.9732
10B,English,layer_12,mean,32.0946,4.3746,0.848393,0.4714,0.6033,0.6755,0.7575,0.8111,0.8594,0.9147,0.9485,0.9747
10B,English,layer_13,mean,34.4416,4.7753,0.845559,0.4493,0.5945,0.6702,0.7564,0.8107,0.8596,0.9144,0.9482,0.9744
10B,English,layer_14,mean,36.7658,4.7731,0.833676,0.4502,0.5868,0.6599,0.7444,0.798,0.8479,0.9059,0.9424,0.9713
10B,English,layer_15,mean,39.7002,5.2199,0.831794,0.4286,0.5766,0.6532,0.7407,0.796,0.8468,0.9051,0.9419,0.9709
10B,English,layer_16,mean,46.8972,6.1086,0.833452,0.3937,0.5486,0.6295,0.7249,0.7855,0.8402,0.9015,0.9398,0.9698
10B,English,layer_17,mean,54.1458,7.3177,0.833871,0.3553,0.5263,0.6121,0.7146,0.7791,0.8358,0.899,0.9382,0.969
10B,English,layer_18,mean,62.2892,8.6386,0.833298,0.3237,0.4976,0.5911,0.7017,0.7712,0.8312,0.8962,0.9363,0.9679
10B,English,layer_19,mean,71.0655,9.3761,0.825062,0.3099,0.4795,0.5722,0.6829,0.7538,0.8161,0.885,0.9286,0.9639
10B,English,layer_20,mean,82.6108,11.9079,0.826577,0.2681,0.4466,0.55,0.67,0.7472,0.813,0.8827,0.9267,0.9629
