checkpoint,dataset,layer,aggregation,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var
10B,English,layer_0,last,176.2048,25.4827,1.358558,0.1808,0.2912,0.3473,0.4456,0.5564,0.693,0.863,0.9478,0.9855
10B,English,layer_1,last,212.2066,22.1531,1.082762,0.2019,0.2897,0.3386,0.4232,0.5179,0.6426,0.8112,0.9109,0.9682
10B,English,layer_2,last,218.9397,21.4111,0.986896,0.2043,0.3008,0.351,0.4333,0.5222,0.6385,0.7964,0.8938,0.9567
10B,English,layer_3,last,229.1743,22.3187,0.936015,0.1975,0.3118,0.362,0.4414,0.5248,0.6335,0.7824,0.8789,0.947
10B,English,layer_4,last,236.1098,23.6482,0.901771,0.1855,0.3225,0.371,0.4488,0.5275,0.6298,0.7715,0.8669,0.9392
10B,English,layer_5,last,257.3119,25.5091,0.875052,0.1757,0.317,0.3647,0.4412,0.5176,0.6165,0.7555,0.8524,0.9307
10B,English,layer_6,last,301.846,31.77,0.855431,0.1499,0.2966,0.3445,0.4202,0.4961,0.5946,0.7347,0.8359,0.9214
10B,English,layer_7,last,360.5696,40.2359,0.833463,0.1269,0.2725,0.3187,0.3933,0.4689,0.5668,0.7111,0.818,0.911
10B,English,layer_8,last,410.2598,47.7977,0.814815,0.1089,0.257,0.3018,0.3745,0.4486,0.5448,0.6905,0.8019,0.9015
10B,English,layer_9,last,464.9846,56.967,0.795533,0.0877,0.2409,0.2856,0.3562,0.4276,0.5218,0.6708,0.7865,0.892
10B,English,layer_10,last,497.7148,62.7343,0.78007,0.0825,0.2312,0.2738,0.3453,0.4172,0.512,0.6622,0.7782,0.8858
10B,English,layer_11,last,536.0512,66.0395,0.75925,0.0822,0.2268,0.2689,0.3376,0.4052,0.4948,0.6432,0.7627,0.8758
10B,English,layer_12,last,574.9352,72.6713,0.746709,0.08,0.2149,0.2556,0.3235,0.3922,0.484,0.6342,0.755,0.8701
10B,English,layer_13,last,608.7241,76.3826,0.732948,0.0787,0.2087,0.2487,0.3165,0.3835,0.4724,0.6213,0.744,0.8628
10B,English,layer_14,last,653.0087,80.4873,0.714814,0.0784,0.2041,0.2451,0.3105,0.3732,0.456,0.6016,0.7273,0.852
10B,English,layer_15,last,679.22,84.594,0.706776,0.078,0.1976,0.2385,0.3049,0.3678,0.4499,0.5943,0.7209,0.8474
10B,English,layer_16,last,697.7566,85.7796,0.697452,0.0804,0.1931,0.235,0.3023,0.365,0.4459,0.5881,0.7149,0.8429
10B,English,layer_17,last,728.0077,88.8993,0.685992,0.0802,0.1878,0.2298,0.2969,0.3592,0.4384,0.5783,0.7055,0.8362
10B,English,layer_18,last,738.1294,86.8254,0.676409,0.0841,0.1882,0.2295,0.2967,0.3582,0.4362,0.5735,0.6997,0.8317
10B,English,layer_19,last,746.9553,84.2043,0.66632,0.0875,0.19,0.23,0.2961,0.3569,0.4335,0.5686,0.6943,0.8271
10B,English,layer_20,last,736.4273,76.7046,0.654383,0.0948,0.1972,0.2369,0.3015,0.3611,0.4356,0.5666,0.6899,0.8226
10B,English,layer_21,last,755.8186,74.7037,0.641096,0.0979,0.1973,0.2366,0.2997,0.358,0.4295,0.5566,0.6796,0.8148
10B,English,layer_22,last,754.9425,73.3278,0.636109,0.0996,0.1979,0.2385,0.3013,0.3595,0.4301,0.5556,0.6783,0.8131
10B,English,layer_23,last,745.6862,71.3149,0.632892,0.1016,0.1986,0.2413,0.3048,0.3634,0.4339,0.5578,0.6789,0.8127
10B,English,layer_24,last,736.3964,68.1336,0.632107,0.1059,0.1981,0.2411,0.3051,0.3652,0.4371,0.5615,0.6815,0.8137
10B,English,layer_25,last,708.7628,66.4132,0.635296,0.1081,0.1961,0.2434,0.3121,0.3756,0.45,0.5739,0.6909,0.8189
10B,English,layer_26,last,663.6261,65.6514,0.645849,0.1085,0.1962,0.2457,0.322,0.3918,0.4706,0.5956,0.7086,0.8298
10B,English,layer_27,last,588.4991,58.2333,0.652304,0.1128,0.2146,0.265,0.3446,0.4159,0.4953,0.618,0.7257,0.8399
10B,English,layer_28,last,420.0739,34.8019,0.658934,0.1461,0.2732,0.3256,0.4036,0.4695,0.5434,0.6575,0.7552,0.8574
10B,English,layer_29,last,268.129,18.8811,0.661561,0.2072,0.3494,0.4011,0.4727,0.5312,0.5965,0.6979,0.7842,0.8745
10B,English,layer_0,mean,132.034,24.9355,1.18705,0.177,0.3169,0.3924,0.523,0.6432,0.7723,0.9092,0.967,0.99
10B,English,layer_1,mean,112.9698,19.7236,1.095358,0.2016,0.3556,0.442,0.5688,0.6781,0.7915,0.9087,0.9605,0.986
10B,English,layer_2,mean,79.9746,10.9075,1.016911,0.2859,0.4494,0.5261,0.6305,0.7152,0.8037,0.9015,0.9519,0.9813
10B,English,layer_3,mean,40.2133,5.5094,0.971178,0.4154,0.5736,0.6396,0.7216,0.7833,0.8472,0.919,0.958,0.9825
10B,English,layer_4,mean,28.4912,4.2771,0.94077,0.4752,0.6284,0.6939,0.7661,0.8172,0.8692,0.928,0.9611,0.9831
10B,English,layer_5,mean,27.1674,4.1699,0.917234,0.4817,0.6333,0.7048,0.777,0.8253,0.8735,0.9285,0.9601,0.9821
10B,English,layer_6,mean,27.1208,3.9933,0.896927,0.4935,0.6342,0.7005,0.7723,0.8201,0.8681,0.9237,0.9564,0.9799
10B,English,layer_7,mean,29.2099,4.3043,0.882364,0.474,0.6206,0.6946,0.7707,0.82,0.8678,0.9226,0.9549,0.9788
10B,English,layer_8,mean,30.2874,4.2977,0.866421,0.4747,0.617,0.6879,0.7643,0.8139,0.8617,0.9173,0.951,0.9765
10B,English,layer_9,mean,28.8233,4.0089,0.850683,0.4928,0.6274,0.6909,0.7643,0.8127,0.8593,0.9144,0.9485,0.9749
10B,English,layer_10,mean,27.3919,3.8637,0.838706,0.5023,0.6357,0.6964,0.7695,0.8176,0.8628,0.9154,0.9484,0.9745
10B,English,layer_11,mean,24.1724,3.473,0.826375,0.5314,0.6539,0.7094,0.778,0.8234,0.8659,0.9163,0.9484,0.9742
10B,English,layer_12,mean,22.6007,3.3776,0.824572,0.539,0.6619,0.7177,0.7864,0.8323,0.8738,0.9213,0.9514,0.9755
10B,English,layer_13,mean,24.7079,3.6654,0.821307,0.5161,0.6504,0.7111,0.7836,0.8306,0.8728,0.9206,0.9507,0.975
10B,English,layer_14,mean,25.828,3.6533,0.807646,0.5172,0.647,0.705,0.7748,0.821,0.8635,0.9134,0.9457,0.9721
10B,English,layer_15,mean,28.6536,4.0109,0.806234,0.4921,0.6345,0.6956,0.7695,0.8174,0.8609,0.9119,0.9446,0.9715
10B,English,layer_16,mean,34.0707,4.5901,0.806848,0.4581,0.6081,0.6727,0.7538,0.8066,0.8536,0.9078,0.9422,0.9701
10B,English,layer_17,mean,40.2915,5.4167,0.806587,0.4186,0.5834,0.6537,0.7417,0.7991,0.8484,0.9047,0.9401,0.969
10B,English,layer_18,mean,47.3377,6.3612,0.805022,0.3835,0.5535,0.6315,0.7275,0.7909,0.8435,0.9016,0.9379,0.9676
10B,English,layer_19,mean,54.2063,6.8681,0.795656,0.368,0.5387,0.6142,0.7093,0.7735,0.8281,0.8899,0.9297,0.9632
10B,English,layer_20,mean,65.439,8.6764,0.796497,0.3219,0.5011,0.5893,0.694,0.7638,0.8225,0.8856,0.9265,0.9615
10B,English,layer_21,mean,88.6198,11.6283,0.806043,0.2721,0.4557,0.5441,0.6546,0.7307,0.7951,0.8668,0.9154,0.9567
10B,English,layer_22,mean,106.0249,15.0329,0.815389,0.2314,0.4242,0.5144,0.6311,0.7124,0.7834,0.862,0.9134,0.9561
10B,English,layer_23,mean,124.1485,19.2397,0.824146,0.1952,0.3971,0.49,0.6102,0.6953,0.7703,0.8547,0.91,0.955
10B,English,layer_24,mean,142.0141,26.8484,0.838015,0.1518,0.3459,0.4576,0.5958,0.6903,0.7709,0.858,0.9133,0.9571
10B,English,layer_25,mean,144.774,33.991,0.851988,0.1145,0.3178,0.4436,0.5984,0.6993,0.7836,0.8689,0.9207,0.9611
10B,English,layer_26,mean,145.1376,40.2797,0.879135,0.0886,0.2882,0.4251,0.5955,0.7064,0.7954,0.8814,0.9307,0.9668
10B,English,layer_27,mean,149.1243,43.0804,0.89102,0.0791,0.2747,0.4145,0.5889,0.7019,0.7938,0.8826,0.9327,0.9682
10B,English,layer_28,mean,149.037,42.7154,0.900034,0.0766,0.2792,0.4123,0.5855,0.6992,0.7929,0.8841,0.9345,0.9694
10B,English,layer_29,mean,139.1558,38.2149,0.903155,0.0867,0.3025,0.4319,0.5972,0.7066,0.7976,0.8876,0.9369,0.9707
10B,Chinese,layer_0,last,143.8639,17.54,1.498185,0.2283,0.318,0.368,0.4669,0.5764,0.7116,0.8766,0.9563,0.9896
10B,Chinese,layer_1,last,159.3705,15.3776,1.192725,0.2467,0.3334,0.3775,0.4638,0.5583,0.6785,0.8367,0.9261,0.9757
10B,Chinese,layer_2,last,150.488,13.8104,1.07962,0.2599,0.3593,0.4058,0.4891,0.5764,0.6862,0.83,0.9145,0.9675
10B,Chinese,layer_3,last,170.2395,15.648,1.025314,0.2416,0.3506,0.3966,0.479,0.5648,0.672,0.8133,0.9,0.9593
10B,Chinese,layer_4,last,183.948,16.7583,0.990563,0.2322,0.3458,0.3923,0.4742,0.5582,0.6623,0.8008,0.8886,0.9528
10B,Chinese,layer_5,last,202.5802,18.171,0.964766,0.222,0.3359,0.3816,0.4633,0.5465,0.649,0.7862,0.8766,0.9462
10B,Chinese,layer_6,last,235.8527,22.5012,0.947644,0.1944,0.3166,0.3623,0.4445,0.528,0.6306,0.7696,0.864,0.9396
10B,Chinese,layer_7,last,279.7483,28.6361,0.927281,0.1665,0.2946,0.3395,0.4211,0.5042,0.6065,0.7498,0.8498,0.932
10B,Chinese,layer_8,last,312.5685,33.4175,0.911228,0.1484,0.2817,0.3256,0.4055,0.4883,0.5894,0.7341,0.8377,0.9253
10B,Chinese,layer_9,last,343.1134,38.4421,0.893061,0.1324,0.2738,0.3176,0.3943,0.4735,0.573,0.7202,0.8268,0.9188
10B,Chinese,layer_10,last,357.6486,40.4497,0.879112,0.1267,0.2682,0.3125,0.3885,0.467,0.5672,0.7151,0.8214,0.9147
10B,Chinese,layer_11,last,381.0799,42.9126,0.856875,0.1191,0.2648,0.3101,0.3848,0.4593,0.5542,0.7002,0.8093,0.9071
10B,Chinese,layer_12,last,406.0427,47.0684,0.842332,0.1129,0.2535,0.2992,0.3753,0.4505,0.5463,0.6934,0.8035,0.9029
10B,Chinese,layer_13,last,425.7713,48.5015,0.826208,0.1125,0.2483,0.2954,0.3716,0.4445,0.5371,0.6827,0.7946,0.8971
10B,Chinese,layer_14,last,452.3136,49.8237,0.804989,0.1102,0.2465,0.2928,0.3671,0.4357,0.5227,0.6651,0.78,0.8881
10B,Chinese,layer_15,last,462.799,50.9349,0.796379,0.1096,0.2415,0.2898,0.3659,0.434,0.5201,0.661,0.7761,0.8852
10B,Chinese,layer_16,last,454.845,48.0795,0.785004,0.1153,0.246,0.2949,0.3722,0.4392,0.523,0.6603,0.7739,0.8829
10B,Chinese,layer_17,last,473.5996,48.9702,0.767072,0.1139,0.2441,0.2931,0.3691,0.4342,0.5153,0.6491,0.7636,0.8762
10B,Chinese,layer_18,last,473.8947,46.9427,0.754732,0.1192,0.2479,0.2961,0.3708,0.435,0.5143,0.6452,0.7589,0.8723
10B,Chinese,layer_19,last,484.3773,45.7775,0.739699,0.1227,0.2493,0.2955,0.3683,0.4313,0.5084,0.6368,0.7514,0.8668
10B,Chinese,layer_20,last,471.8951,41.321,0.723253,0.1334,0.2585,0.3046,0.3753,0.4367,0.5109,0.6348,0.7474,0.8626
10B,Chinese,layer_21,last,476.4899,39.3768,0.709994,0.1389,0.2612,0.3054,0.3738,0.4335,0.5055,0.6287,0.7417,0.8581
10B,Chinese,layer_22,last,463.9761,38.0486,0.704616,0.1427,0.2671,0.3119,0.3799,0.4392,0.5106,0.6335,0.7443,0.8585
10B,Chinese,layer_23,last,458.298,39.041,0.702603,0.1392,0.2675,0.3142,0.3834,0.4442,0.5166,0.6395,0.748,0.86
10B,Chinese,layer_24,last,458.1134,39.8244,0.699767,0.1386,0.2646,0.3139,0.3849,0.447,0.5204,0.643,0.75,0.8604
10B,Chinese,layer_25,last,443.6896,40.7568,0.699629,0.1362,0.2641,0.3198,0.394,0.4589,0.5326,0.6529,0.7565,0.8635
10B,Chinese,layer_26,last,440.6876,44.356,0.704716,0.1285,0.2547,0.3185,0.3967,0.4648,0.5416,0.6636,0.7646,0.8681
10B,Chinese,layer_27,last,417.5631,46.7723,0.708733,0.1216,0.2499,0.327,0.4119,0.4822,0.5599,0.6795,0.7761,0.8744
10B,Chinese,layer_28,last,371.9947,44.5413,0.712507,0.1196,0.2653,0.3505,0.4377,0.5069,0.5825,0.698,0.7893,0.8818
10B,Chinese,layer_29,last,302.4599,35.4326,0.715359,0.1333,0.3048,0.3913,0.4761,0.5418,0.6134,0.7212,0.8056,0.8909
10B,Chinese,layer_0,mean,131.2239,35.9614,1.203406,0.1161,0.3072,0.3915,0.5357,0.6663,0.7966,0.9246,0.9737,0.992
10B,Chinese,layer_1,mean,110.3683,27.2762,1.114857,0.1371,0.3573,0.4547,0.5858,0.7017,0.8133,0.9234,0.968,0.9888
10B,Chinese,layer_2,mean,97.1862,20.107,1.043377,0.1814,0.397,0.5017,0.6197,0.7189,0.8144,0.9134,0.9595,0.9845
10B,Chinese,layer_3,mean,64.6999,11.0344,1.002006,0.2742,0.4863,0.5808,0.681,0.7614,0.8388,0.9205,0.9606,0.984
10B,Chinese,layer_4,mean,47.8338,7.8017,0.974506,0.3378,0.5422,0.6326,0.7221,0.7906,0.8563,0.9266,0.9622,0.9841
10B,Chinese,layer_5,mean,44.229,7.2829,0.95267,0.3508,0.5581,0.6488,0.7359,0.7999,0.861,0.9269,0.9611,0.9831
10B,Chinese,layer_6,mean,43.8776,6.8864,0.934509,0.3638,0.56,0.6481,0.7341,0.7974,0.8577,0.9233,0.9583,0.9815
10B,Chinese,layer_7,mean,45.5531,7.0906,0.918764,0.3585,0.5514,0.641,0.7325,0.7969,0.857,0.9215,0.9563,0.9802
10B,Chinese,layer_8,mean,46.3189,6.86,0.901301,0.3665,0.5479,0.6373,0.7283,0.792,0.8516,0.9165,0.9526,0.978
10B,Chinese,layer_9,mean,44.3086,6.2526,0.884583,0.3871,0.5547,0.6409,0.7295,0.7912,0.8492,0.9134,0.95,0.9764
10B,Chinese,layer_10,mean,41.6868,5.8239,0.870115,0.4029,0.5646,0.6471,0.7358,0.7966,0.8524,0.9138,0.9494,0.9757
10B,Chinese,layer_11,mean,36.7208,5.0625,0.855429,0.4352,0.5863,0.6636,0.7467,0.8033,0.8556,0.9141,0.9488,0.975
10B,Chinese,layer_12,mean,33.2733,4.7417,0.850508,0.4506,0.5996,0.6754,0.7593,0.8145,0.8641,0.9188,0.9513,0.976
10B,Chinese,layer_13,mean,34.2951,4.9879,0.843763,0.4374,0.5989,0.6762,0.7608,0.815,0.8639,0.9179,0.9504,0.9754
10B,Chinese,layer_14,mean,35.8443,4.9864,0.829313,0.4379,0.5951,0.6713,0.7536,0.8066,0.8557,0.9114,0.9457,0.9727
10B,Chinese,layer_15,mean,38.5452,5.4041,0.82639,0.419,0.5836,0.6641,0.7505,0.8043,0.8539,0.9101,0.9447,0.9721
10B,Chinese,layer_16,mean,43.2155,6.1724,0.824282,0.3885,0.5672,0.6513,0.7436,0.7998,0.8505,0.9079,0.9432,0.9712
10B,Chinese,layer_17,mean,48.7646,6.9471,0.821199,0.3632,0.5489,0.636,0.7326,0.7913,0.8434,0.9029,0.9398,0.9693
10B,Chinese,layer_18,mean,54.8098,7.9256,0.81779,0.3361,0.5317,0.621,0.7224,0.7841,0.8376,0.8985,0.9367,0.9676
10B,Chinese,layer_19,mean,62.7447,8.8152,0.812453,0.3159,0.5158,0.6044,0.7062,0.7687,0.8235,0.8876,0.9293,0.9639
10B,Chinese,layer_20,mean,73.5837,10.3849,0.812695,0.2862,0.4916,0.5813,0.6873,0.7531,0.8111,0.8791,0.9239,0.9612
10B,Chinese,layer_21,mean,93.5051,14.0979,0.8266,0.2339,0.4529,0.5467,0.6571,0.729,0.7921,0.868,0.9184,0.9593
10B,Chinese,layer_22,mean,100.8507,17.1953,0.833651,0.1962,0.4378,0.5363,0.6507,0.7272,0.792,0.8692,0.9198,0.9602
10B,Chinese,layer_23,mean,108.9124,22.1367,0.847892,0.1515,0.4094,0.518,0.6475,0.7307,0.797,0.8742,0.9238,0.9628
10B,Chinese,layer_24,mean,116.0341,25.8473,0.858494,0.1216,0.3887,0.5022,0.6384,0.7275,0.7975,0.8759,0.9258,0.9641
10B,Chinese,layer_25,mean,112.3285,27.1311,0.865635,0.1092,0.3847,0.5045,0.6468,0.7383,0.8085,0.8834,0.9306,0.9666
10B,Chinese,layer_26,mean,118.2468,29.967,0.883105,0.1067,0.3595,0.4832,0.6354,0.7334,0.8092,0.8871,0.9341,0.9688
10B,Chinese,layer_27,mean,114.0395,30.2264,0.89312,0.104,0.3575,0.4862,0.6434,0.7413,0.8165,0.8929,0.9382,0.971
10B,Chinese,layer_28,mean,103.7016,26.315,0.89759,0.1102,0.3862,0.5062,0.6573,0.75,0.8226,0.8972,0.941,0.9725
10B,Chinese,layer_29,mean,81.6782,19.231,0.899849,0.1523,0.4392,0.5572,0.6918,0.7748,0.8402,0.9078,0.9472,0.9754
10B,French,layer_0,last,168.3372,26.817,1.371369,0.1733,0.2856,0.3436,0.4561,0.5727,0.7107,0.8769,0.9549,0.9877
10B,French,layer_1,last,208.7052,24.4599,1.102387,0.1901,0.2818,0.3321,0.4271,0.5281,0.6564,0.8256,0.9205,0.9721
10B,French,layer_2,last,217.2653,24.1506,1.002097,0.1902,0.2931,0.3443,0.4386,0.5333,0.6525,0.8105,0.9034,0.9608
10B,French,layer_3,last,237.2438,25.259,0.950571,0.1853,0.2918,0.3432,0.4348,0.5253,0.6389,0.7916,0.8859,0.9504
10B,French,layer_4,last,255.2202,27.1146,0.915854,0.1764,0.2909,0.342,0.4322,0.5196,0.6283,0.7765,0.8719,0.942
10B,French,layer_5,last,283.283,30.8386,0.888597,0.1616,0.2818,0.3329,0.422,0.5079,0.6136,0.7594,0.857,0.9334
10B,French,layer_6,last,327.5902,38.7593,0.86931,0.1382,0.2635,0.315,0.4044,0.4895,0.5937,0.7399,0.8416,0.9248
10B,French,layer_7,last,386.388,49.2567,0.84721,0.1173,0.2404,0.2909,0.3779,0.4627,0.5672,0.7173,0.8246,0.9151
10B,French,layer_8,last,438.0807,57.9811,0.827554,0.1042,0.2256,0.2738,0.3586,0.4416,0.5446,0.6959,0.808,0.9055
10B,French,layer_9,last,494.7036,70.2696,0.80781,0.0887,0.2107,0.2586,0.341,0.421,0.5221,0.6761,0.7927,0.8962
10B,French,layer_10,last,526.9986,75.7459,0.791577,0.085,0.202,0.2473,0.3293,0.4097,0.5119,0.667,0.784,0.8898
10B,French,layer_11,last,574.8216,81.0624,0.769744,0.0823,0.1946,0.2394,0.3193,0.3961,0.4929,0.6464,0.7673,0.8792
10B,French,layer_12,last,619.5682,90.8106,0.756654,0.0772,0.1824,0.2255,0.3035,0.3813,0.4808,0.6363,0.7589,0.8731
10B,French,layer_13,last,656.9343,94.7225,0.742584,0.0766,0.1764,0.2188,0.2957,0.3712,0.4682,0.6225,0.7472,0.8655
10B,French,layer_14,last,697.1623,96.9585,0.724689,0.076,0.1747,0.2172,0.2914,0.3623,0.4531,0.6039,0.7313,0.8551
10B,French,layer_15,last,718.8003,99.9996,0.715794,0.0746,0.1708,0.2136,0.2877,0.358,0.4479,0.5972,0.725,0.8506
10B,French,layer_16,last,730.7946,99.4128,0.706041,0.0751,0.1696,0.2125,0.2868,0.3569,0.4453,0.592,0.7196,0.8463
10B,French,layer_17,last,749.884,98.5857,0.695046,0.0758,0.1691,0.2109,0.2837,0.3531,0.4397,0.5839,0.7113,0.8403
10B,French,layer_18,last,755.8976,96.9304,0.686177,0.0769,0.1707,0.2122,0.2844,0.3537,0.439,0.5804,0.7066,0.8364
10B,French,layer_19,last,761.1306,94.8314,0.67708,0.0773,0.1735,0.2141,0.285,0.3538,0.4375,0.5765,0.7019,0.8324
10B,French,layer_20,last,747.1906,87.5968,0.666227,0.0817,0.1812,0.2222,0.2919,0.3594,0.441,0.5759,0.6989,0.8288
10B,French,layer_21,last,743.2627,80.5329,0.653118,0.0876,0.1882,0.2282,0.2959,0.3618,0.4407,0.5709,0.692,0.8228
10B,French,layer_22,last,730.7548,76.5189,0.647705,0.0915,0.1943,0.2343,0.3006,0.3661,0.4439,0.5716,0.6914,0.8215
10B,French,layer_23,last,702.9628,70.5468,0.644047,0.0972,0.2009,0.2421,0.3091,0.3752,0.4525,0.5772,0.6943,0.8222
10B,French,layer_24,last,688.6202,67.5856,0.64304,0.1013,0.2026,0.2445,0.3122,0.3791,0.4574,0.5818,0.6975,0.8235
10B,French,layer_25,last,650.4344,63.683,0.646091,0.1065,0.2049,0.2513,0.3231,0.3928,0.4727,0.5958,0.7079,0.8293
10B,French,layer_26,last,600.3793,60.7203,0.655176,0.1098,0.2109,0.2598,0.3364,0.4111,0.4939,0.6165,0.7247,0.8396
10B,French,layer_27,last,504.1382,49.7439,0.662372,0.1198,0.238,0.2891,0.3708,0.4453,0.5267,0.6446,0.7457,0.8521
10B,French,layer_28,last,342.6721,29.3329,0.670152,0.1558,0.3029,0.3569,0.4381,0.5067,0.5805,0.688,0.778,0.8712
10B,French,layer_29,last,223.1791,17.1682,0.673107,0.2131,0.3745,0.428,0.5029,0.5644,0.6298,0.7253,0.8047,0.8868
10B,French,layer_0,mean,157.9909,39.2586,1.19537,0.1297,0.2562,0.3435,0.4928,0.6275,0.7655,0.9084,0.9671,0.9901
10B,French,layer_1,mean,134.764,27.1831,1.102936,0.1661,0.3041,0.3943,0.5365,0.6589,0.7821,0.9069,0.9603,0.9861
10B,French,layer_2,mean,96.6658,14.4349,1.024316,0.2412,0.4066,0.4857,0.6034,0.6991,0.7951,0.8992,0.9515,0.9813
10B,French,layer_3,mean,49.9134,6.7666,0.977315,0.3706,0.5318,0.6027,0.6958,0.7673,0.8375,0.9153,0.9566,0.9821
10B,French,layer_4,mean,34.1531,4.8905,0.945921,0.4425,0.594,0.6623,0.7451,0.8039,0.861,0.9247,0.9596,0.9825
10B,French,layer_5,mean,31.8749,4.6722,0.921838,0.4539,0.6019,0.6777,0.7597,0.8145,0.8669,0.9257,0.9588,0.9816
10B,French,layer_6,mean,31.7411,4.4646,0.901155,0.4659,0.6034,0.6752,0.7564,0.8101,0.8619,0.9211,0.9552,0.9794
10B,French,layer_7,mean,34.494,4.852,0.887252,0.4456,0.5866,0.6671,0.7535,0.8089,0.8612,0.9197,0.9536,0.9782
10B,French,layer_8,mean,35.99,4.8836,0.871998,0.4445,0.5827,0.6599,0.7475,0.803,0.8552,0.9144,0.9497,0.976
10B,French,layer_9,mean,34.4638,4.545,0.856,0.4621,0.5939,0.6635,0.747,0.8009,0.852,0.911,0.9468,0.9742
10B,French,layer_10,mean,33.4682,4.4629,0.845025,0.4664,0.6005,0.6671,0.7508,0.8052,0.855,0.9117,0.9466,0.9737
10B,French,layer_11,mean,29.7791,3.9901,0.832651,0.495,0.6181,0.6799,0.7591,0.8104,0.8577,0.9122,0.9462,0.9732
10B,French,layer_12,mean,28.2382,3.9418,0.831898,0.4978,0.6248,0.6863,0.7672,0.8199,0.8661,0.9176,0.9494,0.9747
10B,French,layer_13,mean,30.9872,4.3394,0.828926,0.4728,0.6128,0.6785,0.7639,0.818,0.8649,0.9167,0.9487,0.9742
10B,French,layer_14,mean,32.5684,4.3135,0.815432,0.4746,0.6093,0.6716,0.7536,0.8069,0.8543,0.9087,0.9432,0.971
10B,French,layer_15,mean,36.1481,4.8082,0.814245,0.4476,0.5949,0.6618,0.7487,0.8038,0.8523,0.9075,0.9423,0.9705
10B,French,layer_16,mean,42.1233,5.4748,0.814013,0.4176,0.5703,0.6404,0.7337,0.7934,0.8451,0.9035,0.9399,0.9692
10B,French,layer_17,mean,48.8592,6.4893,0.814254,0.3801,0.5465,0.6229,0.723,0.7871,0.8413,0.9013,0.9385,0.9684
10B,French,layer_18,mean,56.0093,7.5286,0.812075,0.35,0.5218,0.6023,0.7106,0.7792,0.8367,0.8984,0.9364,0.9671
10B,French,layer_19,mean,63.3552,8.0991,0.802919,0.3365,0.508,0.587,0.6935,0.7628,0.8221,0.8872,0.9286,0.9628
10B,French,layer_20,mean,74.9332,10.3294,0.803994,0.2917,0.4739,0.563,0.6798,0.7561,0.8185,0.8843,0.9264,0.9616
10B,French,layer_21,mean,95.7597,13.6104,0.811455,0.247,0.4367,0.5277,0.6485,0.7303,0.7971,0.8692,0.9172,0.9577
10B,French,layer_22,mean,109.8694,17.0459,0.819235,0.2116,0.413,0.5073,0.6306,0.716,0.7877,0.8651,0.9155,0.9572
10B,French,layer_23,mean,123.1384,21.5184,0.827946,0.1752,0.3891,0.4927,0.6198,0.7062,0.7798,0.8607,0.9138,0.957
10B,French,layer_24,mean,136.7299,28.4265,0.841495,0.1372,0.3475,0.461,0.6055,0.7037,0.7824,0.8648,0.9173,0.9592
10B,French,layer_25,mean,136.6066,33.4796,0.854117,0.1063,0.3305,0.452,0.6077,0.7129,0.7948,0.875,0.9242,0.9629
10B,French,layer_26,mean,137.2372,38.4257,0.879421,0.0826,0.306,0.4349,0.6038,0.7184,0.8048,0.8856,0.9328,0.9678
10B,French,layer_27,mean,134.7625,38.8611,0.891077,0.0799,0.3018,0.4345,0.6062,0.7215,0.8088,0.89,0.9364,0.9699
10B,French,layer_28,mean,127.1229,35.5989,0.899885,0.0904,0.3191,0.4472,0.6135,0.7265,0.8138,0.8947,0.9399,0.9718
10B,French,layer_29,mean,114.7081,30.1492,0.901965,0.1136,0.3489,0.4738,0.6303,0.7374,0.821,0.8992,0.9428,0.9732
10B,Indonesian,layer_0,last,98.1107,11.55,1.59324,0.2841,0.3863,0.4364,0.5311,0.6333,0.7565,0.9024,0.968,0.9928
10B,Indonesian,layer_1,last,103.595,10.1604,1.287803,0.3056,0.4076,0.4522,0.5341,0.6226,0.7319,0.8682,0.9436,0.9829
10B,Indonesian,layer_2,last,105.601,10.6272,1.156238,0.2951,0.4152,0.4683,0.5516,0.6343,0.7347,0.8599,0.9326,0.9761
10B,Indonesian,layer_3,last,114.3921,12.3274,1.096919,0.2674,0.4201,0.4757,0.5574,0.6355,0.7298,0.8497,0.9224,0.9703
10B,Indonesian,layer_4,last,115.9952,13.9447,1.05494,0.235,0.4343,0.4911,0.5704,0.6435,0.7311,0.8444,0.9157,0.9662
10B,Indonesian,layer_5,last,125.7836,15.3733,1.02483,0.2161,0.429,0.4871,0.5657,0.6369,0.7217,0.8336,0.9065,0.9612
10B,Indonesian,layer_6,last,143.7776,17.9362,1.005319,0.1873,0.4108,0.4705,0.5499,0.6216,0.7061,0.8197,0.8961,0.956
10B,Indonesian,layer_7,last,168.7407,21.0955,0.981668,0.1622,0.3889,0.4506,0.5287,0.5993,0.6836,0.8015,0.8834,0.9495
10B,Indonesian,layer_8,last,186.8386,23.0787,0.964365,0.1484,0.3772,0.4382,0.5148,0.5842,0.6674,0.7868,0.8725,0.9438
10B,Indonesian,layer_9,last,205.0438,24.6828,0.944936,0.1492,0.3638,0.4288,0.5028,0.5696,0.6514,0.7732,0.8622,0.9381
10B,Indonesian,layer_10,last,220.1291,26.3247,0.92977,0.1444,0.3546,0.4177,0.4909,0.5582,0.6412,0.7653,0.8556,0.9338
