checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
315B,Arabic,m_mmlu,m_mmlu_ar,0.2646194306930693,5,0.25,119.7915,11.2866,0.817748,0.2236,0.4863,0.5304,0.5902,0.6356,0.6874,0.7703,0.843,0.919,layer_15,last
325B,Arabic,m_mmlu,m_mmlu_ar,0.26879641089108913,5,0.25,124.731,11.6477,0.815537,0.2181,0.4791,0.5233,0.5847,0.6312,0.6839,0.7678,0.8412,0.9179,layer_15,last
334B,Arabic,m_mmlu,m_mmlu_ar,0.2670946782178218,5,0.25,115.5532,10.9716,0.816878,0.2369,0.4913,0.5357,0.5958,0.6415,0.6927,0.7743,0.8457,0.9203,layer_15,last
342B,Arabic,m_mmlu,m_mmlu_ar,0.26794554455445546,5,0.25,116.4728,11.01,0.818465,0.2333,0.4894,0.5335,0.5938,0.6398,0.6914,0.7735,0.8453,0.9202,layer_15,last
352B,Arabic,m_mmlu,m_mmlu_ar,0.25920482673267325,5,0.25,118.7964,11.2732,0.823655,0.2265,0.4877,0.5314,0.5915,0.6371,0.6893,0.7723,0.8447,0.9202,layer_15,last
363B,Arabic,m_mmlu,m_mmlu_ar,0.26794554455445546,5,0.25,113.7706,10.7375,0.817882,0.2447,0.4934,0.5375,0.597,0.6428,0.6942,0.7756,0.8467,0.9208,layer_15,last
373B,Arabic,m_mmlu,m_mmlu_ar,0.2636912128712871,5,0.25,115.0596,10.9039,0.820205,0.2377,0.4914,0.5354,0.5956,0.6412,0.6928,0.7748,0.8463,0.9209,layer_15,last
384B,Arabic,m_mmlu,m_mmlu_ar,0.2592821782178218,5,0.25,110.4596,10.6053,0.819908,0.2436,0.4992,0.5431,0.6014,0.6463,0.6976,0.7785,0.8488,0.9221,layer_15,last
394B,Arabic,m_mmlu,m_mmlu_ar,0.2597462871287129,5,0.25,111.4438,10.7229,0.819011,0.2412,0.4975,0.5417,0.6006,0.6456,0.6968,0.7779,0.8485,0.922,layer_15,last
405B,Arabic,m_mmlu,m_mmlu_ar,0.2610612623762376,5,0.25,111.1377,10.5921,0.823156,0.2432,0.4969,0.5404,0.5994,0.6445,0.696,0.7776,0.8485,0.9222,layer_15,last
415B,Arabic,m_mmlu,m_mmlu_ar,0.2635365099009901,5,0.25,110.9103,10.6641,0.820624,0.2452,0.498,0.5421,0.6014,0.6465,0.6977,0.7787,0.8491,0.9224,layer_15,last
426B,Arabic,m_mmlu,m_mmlu_ar,0.2625309405940594,5,0.25,112.5662,10.7602,0.81982,0.2444,0.4947,0.5393,0.5996,0.645,0.6965,0.7778,0.8485,0.922,layer_15,last
436B,Arabic,m_mmlu,m_mmlu_ar,0.2571936881188119,5,0.25,110.1641,10.6,0.822423,0.2462,0.498,0.5422,0.6018,0.6472,0.6987,0.7798,0.8501,0.923,layer_15,last
447B,Arabic,m_mmlu,m_mmlu_ar,0.2560334158415842,5,0.25,107.6968,10.3581,0.821083,0.2508,0.5013,0.5455,0.6047,0.6496,0.7006,0.7809,0.8508,0.9233,layer_15,last
457B,Arabic,m_mmlu,m_mmlu_ar,0.2516243811881188,5,0.25,108.9426,10.4796,0.823632,0.249,0.5,0.5441,0.6032,0.648,0.6993,0.7803,0.8504,0.9232,layer_15,last
468B,Arabic,m_mmlu,m_mmlu_ar,0.2600556930693069,5,0.25,111.8813,10.7113,0.824056,0.2445,0.4956,0.5396,0.5993,0.6448,0.6967,0.7784,0.8492,0.9227,layer_15,last
478B,Arabic,m_mmlu,m_mmlu_ar,0.25642017326732675,5,0.25,109.4605,10.4831,0.823322,0.2504,0.4982,0.5425,0.6024,0.6476,0.699,0.7801,0.8504,0.9232,layer_15,last
489B,Arabic,m_mmlu,m_mmlu_ar,0.2589727722772277,5,0.25,108.7838,10.4763,0.823526,0.2523,0.499,0.5438,0.604,0.6495,0.7008,0.7816,0.8514,0.9237,layer_15,last
499B,Arabic,m_mmlu,m_mmlu_ar,0.2660891089108911,5,0.25,108.7083,10.4753,0.82452,0.2504,0.4996,0.5439,0.6037,0.6487,0.7001,0.781,0.8511,0.9237,layer_15,last
510B,Arabic,m_mmlu,m_mmlu_ar,0.26330445544554454,5,0.25,112.004,10.7101,0.82559,0.2452,0.4943,0.539,0.599,0.6448,0.6967,0.7787,0.8497,0.923,layer_15,last
520B,Arabic,m_mmlu,m_mmlu_ar,0.26168007425742573,5,0.25,109.1701,10.4843,0.826088,0.2508,0.4985,0.5431,0.6027,0.648,0.6995,0.7807,0.851,0.9237,layer_15,last
531B,Arabic,m_mmlu,m_mmlu_ar,0.27382425742574257,5,0.25,108.1572,10.3975,0.826431,0.2544,0.4996,0.5442,0.6041,0.6494,0.7008,0.7819,0.8519,0.9242,layer_15,last
541B,Arabic,m_mmlu,m_mmlu_ar,0.2669399752475248,5,0.25,111.7547,10.7463,0.825621,0.2454,0.4948,0.5397,0.6002,0.6458,0.6977,0.7795,0.8503,0.9234,layer_15,last
552B,Arabic,m_mmlu,m_mmlu_ar,0.26183477722772275,5,0.25,111.013,10.6549,0.824976,0.2479,0.4963,0.5408,0.6007,0.6462,0.6978,0.7795,0.8502,0.9233,layer_15,last
562B,Arabic,m_mmlu,m_mmlu_ar,0.25270730198019803,5,0.25,107.618,10.3892,0.82595,0.2531,0.5006,0.545,0.605,0.6501,0.7014,0.7823,0.8522,0.9244,layer_15,last
573B,Arabic,m_mmlu,m_mmlu_ar,0.2645420792079208,5,0.25,108.6772,10.4694,0.826968,0.2513,0.4993,0.5436,0.6033,0.6485,0.7001,0.7814,0.8517,0.9242,layer_15,last
583B,Arabic,m_mmlu,m_mmlu_ar,0.26013304455445546,5,0.25,111.9327,10.799,0.826706,0.2456,0.4944,0.5394,0.6002,0.6462,0.6981,0.78,0.8507,0.9236,layer_15,last
593B,Arabic,m_mmlu,m_mmlu_ar,0.2641553217821782,5,0.25,109.5834,10.5497,0.826469,0.2513,0.4974,0.5425,0.6026,0.6481,0.6998,0.7812,0.8515,0.924,layer_15,last
10B,Chinese,m_mmlu,m_mmlu_zh,0.2721610330421572,5,0.25,462.799,50.9349,0.796379,0.1096,0.2415,0.2898,0.3659,0.434,0.5201,0.661,0.7761,0.8852,layer_15,last
21B,Chinese,m_mmlu,m_mmlu_zh,0.27102164830991265,5,0.25,384.0739,26.9362,0.773043,0.1782,0.2902,0.331,0.396,0.4536,0.5267,0.6516,0.7623,0.8751,layer_15,last
31B,Chinese,m_mmlu,m_mmlu_zh,0.254310672236992,5,0.25,332.5801,21.6866,0.760511,0.2015,0.3217,0.3624,0.4245,0.4779,0.5447,0.6597,0.7646,0.8746,layer_15,last
42B,Chinese,m_mmlu,m_mmlu_zh,0.2586403342195215,5,0.25,295.5468,17.4977,0.752816,0.2281,0.3407,0.3796,0.4402,0.4915,0.5552,0.6652,0.7669,0.8749,layer_15,last
52B,Chinese,m_mmlu,m_mmlu_zh,0.26213444739840486,5,0.25,280.3992,15.4726,0.75318,0.2452,0.3487,0.3855,0.4433,0.4935,0.5558,0.6642,0.7653,0.874,layer_15,last
