checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
step1678000-tokens7047B,Arabic,m_mmlu,m_mmlu_ar,0.43889232673267325,5,0.25,167.478,16.3335,0.882865,0.2006,0.4084,0.4623,0.5357,0.5989,0.6698,0.7707,0.8502,0.9264,layer_21,last
step1700000-tokens7232B,Arabic,m_mmlu,m_mmlu_ar,0.4479424504950495,5,0.25,167.8506,16.3401,0.892814,0.2,0.4068,0.4627,0.533,0.5961,0.6686,0.7709,0.8511,0.9274,layer_21,last
step1750000-tokens7652B,Arabic,m_mmlu,m_mmlu_ar,0.4488706683168317,5,0.25,156.7265,14.8809,0.890206,0.2153,0.4191,0.4722,0.5421,0.603,0.6737,0.7744,0.8533,0.9284,layer_21,last
step1800000-tokens8072B,Arabic,m_mmlu,m_mmlu_ar,0.4525061881188119,5,0.25,140.9002,13.168,0.894338,0.2337,0.4369,0.4876,0.5549,0.6143,0.6834,0.7812,0.8579,0.9309,layer_21,last
step1850000-tokens8492B,Arabic,m_mmlu,m_mmlu_ar,0.44299195544554454,5,0.25,154.153,14.9686,0.887113,0.2123,0.4209,0.4745,0.5458,0.6075,0.6783,0.7783,0.8559,0.9295,layer_21,last
step1900000-tokens8912B,Arabic,m_mmlu,m_mmlu_ar,0.43842821782178215,5,0.25,141.3766,13.552,0.891806,0.2275,0.4361,0.4888,0.5562,0.6169,0.6861,0.7833,0.8593,0.9315,layer_21,last
step1950000-tokens9332B,Arabic,m_mmlu,m_mmlu_ar,0.4458539603960396,5,0.25,140.2153,13.2903,0.886707,0.2354,0.4355,0.4887,0.5591,0.6185,0.6871,0.7841,0.8598,0.9315,layer_21,last
step2000000-tokens9752B,Arabic,m_mmlu,m_mmlu_ar,0.45583230198019803,5,0.25,133.8441,12.3951,0.889503,0.248,0.444,0.4952,0.5633,0.6218,0.6893,0.7855,0.8607,0.932,layer_21,last
step2050000-tokens10172B,Arabic,m_mmlu,m_mmlu_ar,0.45583230198019803,5,0.25,143.8,13.6338,0.894883,0.2307,0.4311,0.4835,0.5536,0.6149,0.6847,0.7828,0.8593,0.9316,layer_21,last
step2100000-tokens10592B,Arabic,m_mmlu,m_mmlu_ar,0.4586943069306931,5,0.25,164.612,16.2459,0.889053,0.2039,0.4064,0.4629,0.5387,0.6027,0.6745,0.7757,0.8542,0.9287,layer_21,last
step2150000-tokens11012B,Arabic,m_mmlu,m_mmlu_ar,0.46178836633663367,5,0.25,147.5938,13.9978,0.897843,0.2263,0.4278,0.4795,0.5486,0.6107,0.6812,0.7809,0.8584,0.9314,layer_21,last
