predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer
alpha_abs_ratio,accuracy_majority,0,pooled,,72,-0.097,0.4176,-0.1027,0.3904,layer_29
alpha_abs_ratio,overall_score,0,pooled,,72,-0.1652,0.1656,-0.1367,0.252,layer_29
alpha_abs_ratio,transfer_score,0,pooled,,72,-0.1327,0.2666,0.0317,0.7918,layer_29
alpha_abs_ratio,transfer_score_str,0,pooled,,72,-0.3669,0.0015,-0.2552,0.0305,layer_29
alpha_abs_ratio,overall_score_str,0,pooled,,72,-0.3012,0.0101,-0.2418,0.0407,layer_29
alpha_abs_ratio,transfer_margin_str,0,pooled,,72,-0.3978,0.0005,-0.4125,0.0003,layer_29
alpha_abs_ratio,overall_margin_str,0,pooled,,72,-0.5475,0.0,-0.4351,0.0001,layer_29
alpha_abs_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.0994,0.4061,-0.1084,0.3649,layer_29
alpha_abs_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0828,0.4891,-0.1594,0.1811,layer_29
alpha_abs_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1057,0.377,-0.1102,0.3568,layer_29
alpha_signed_ratio,accuracy_majority,0,pooled,,72,-0.2179,0.066,-0.2679,0.0229,layer_29
alpha_signed_ratio,overall_score,0,pooled,,72,-0.0467,0.6968,-0.1256,0.2933,layer_29
alpha_signed_ratio,transfer_score,0,pooled,,72,-0.0761,0.5251,-0.148,0.2146,layer_29
alpha_signed_ratio,transfer_score_str,0,pooled,,72,-0.4072,0.0004,-0.4303,0.0002,layer_29
alpha_signed_ratio,overall_score_str,0,pooled,,72,-0.0817,0.4949,-0.1913,0.1074,layer_29
alpha_signed_ratio,transfer_margin_str,0,pooled,,72,-0.0771,0.5199,-0.2266,0.0556,layer_29
alpha_signed_ratio,overall_margin_str,0,pooled,,72,0.0779,0.5157,-0.137,0.2511,layer_29
alpha_signed_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.1732,0.1457,-0.1941,0.1023,layer_29
alpha_signed_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1307,0.2737,-0.2042,0.0853,layer_29
alpha_signed_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.319,0.0063,-0.2565,0.0297,layer_29
alpha_log_ratio,accuracy_majority,0,pooled,,72,-0.2179,0.066,-0.227,0.0552,layer_29
alpha_log_ratio,overall_score,0,pooled,,72,-0.0467,0.6968,-0.043,0.7202,layer_29
alpha_log_ratio,transfer_score,0,pooled,,72,-0.0761,0.5251,-0.1628,0.1717,layer_29
alpha_log_ratio,transfer_score_str,0,pooled,,72,-0.4072,0.0004,-0.3927,0.0006,layer_29
alpha_log_ratio,overall_score_str,0,pooled,,72,-0.0817,0.4949,-0.0501,0.6762,layer_29
alpha_log_ratio,transfer_margin_str,0,pooled,,72,-0.0771,0.5199,-0.0496,0.6792,layer_29
alpha_log_ratio,overall_margin_str,0,pooled,,72,0.0779,0.5157,0.1166,0.3296,layer_29
alpha_log_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.1732,0.1457,-0.1655,0.1647,layer_29
alpha_log_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1307,0.2737,-0.1153,0.335,layer_29
alpha_log_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.319,0.0063,-0.2652,0.0243,layer_29
A_abs_diff,accuracy_majority,0,pooled,,72,-0.1493,0.2106,-0.211,0.0753,layer_29
A_abs_diff,overall_score,0,pooled,,72,-0.1103,0.3564,-0.1792,0.1321,layer_29
A_abs_diff,transfer_score,0,pooled,,72,-0.0802,0.5029,-0.0865,0.4698,layer_29
A_abs_diff,transfer_score_str,0,pooled,,72,-0.3899,0.0007,-0.3588,0.002,layer_29
A_abs_diff,overall_score_str,0,pooled,,72,-0.4337,0.0001,-0.447,0.0001,layer_29
A_abs_diff,transfer_margin_str,0,pooled,,72,-0.1536,0.1976,-0.1827,0.1244,layer_29
A_abs_diff,overall_margin_str,0,pooled,,72,-0.5239,0.0,-0.4762,0.0,layer_29
A_abs_diff,accuracy_gpt-5-mini,0,pooled,,72,-0.1612,0.1763,-0.1987,0.0943,layer_29
A_abs_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.2028,0.0876,-0.1974,0.0966,layer_29
A_abs_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.0508,0.6719,-0.0363,0.7619,layer_29
A_signed_diff,accuracy_majority,0,pooled,,72,-0.1022,0.3928,-0.0808,0.4997,layer_29
A_signed_diff,overall_score,0,pooled,,72,-0.0064,0.9574,0.0318,0.7911,layer_29
A_signed_diff,transfer_score,0,pooled,,72,-0.0371,0.7573,-0.0777,0.5167,layer_29
A_signed_diff,transfer_score_str,0,pooled,,72,-0.3737,0.0012,-0.3683,0.0015,layer_29
A_signed_diff,overall_score_str,0,pooled,,72,-0.1867,0.1163,-0.1371,0.2509,layer_29
A_signed_diff,transfer_margin_str,0,pooled,,72,0.0292,0.8078,0.0171,0.8864,layer_29
A_signed_diff,overall_margin_str,0,pooled,,72,0.0297,0.8045,0.0362,0.7629,layer_29
A_signed_diff,accuracy_gpt-5-mini,0,pooled,,72,-0.0405,0.7358,-0.0215,0.8575,layer_29
A_signed_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1081,0.366,-0.0454,0.705,layer_29
A_signed_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1343,0.2607,-0.0867,0.4689,layer_29
