src_lang,tgt_lang,accuracy_majority,overall_score,transfer_score,accuracy_gpt-5-mini,accuracy_meta-llama/Llama-3.3-70B-Instruct,accuracy_zai-org/GLM-4.7-Flash,transfer_score_str,overall_score_str,transfer_margin_str,overall_margin_str,alpha_src,alpha_tgt,alpha_abs_diff,alpha_signed_diff,alpha_min,alpha_max,alpha_norm_asym,alpha_abs_ratio,alpha_signed_ratio,alpha_log_ratio,A_src,A_tgt,A_abs_diff,A_signed_diff,A_min,A_max,A_norm_asym,A_abs_ratio,A_signed_ratio,A_log_ratio,drop_to_min_src,drop_to_min_tgt,drop_to_min_abs_diff,drop_to_min_signed_diff,drop_to_min_min,drop_to_min_max,drop_to_min_norm_asym,drop_to_min_abs_ratio,drop_to_min_signed_ratio,drop_to_min_log_ratio,recovery_src,recovery_tgt,recovery_abs_diff,recovery_signed_diff,recovery_min,recovery_max,recovery_norm_asym,recovery_abs_ratio,recovery_signed_ratio,recovery_log_ratio,drop_minus_recovery_src,drop_minus_recovery_tgt,drop_minus_recovery_abs_diff,drop_minus_recovery_signed_diff,drop_minus_recovery_min,drop_minus_recovery_max,drop_minus_recovery_norm_asym,drop_minus_recovery_abs_ratio,drop_minus_recovery_signed_ratio,drop_minus_recovery_log_ratio,drop_over_recovery_src,drop_over_recovery_tgt,drop_over_recovery_abs_diff,drop_over_recovery_signed_diff,drop_over_recovery_min,drop_over_recovery_max,drop_over_recovery_norm_asym,drop_over_recovery_abs_ratio,drop_over_recovery_signed_ratio,drop_over_recovery_log_ratio,k,checkpoint,layer
de,en,0.0,0.0,0.0,0.0,0.0,0.0625,0.2911208151382823,0.0694444444444444,0.3829513477890887,0.1245598299846736,46.66157491856247,41.43748475512008,5.224090163442391,5.224090163442391,41.43748475512008,46.66157491856247,0.05929791058828862,1.1260716038705936,1.1260716038705936,0.11873511905499479,1388.7379995252757,1216.3906104199775,172.34738910529813,172.34738910529813,1216.3906104199775,1388.7379995252757,0.06615695994714056,1.1416875365765866,1.1416875365765866,0.1325074630920673,221.1168,208.8505,12.266300000000001,12.266300000000001,208.8505,221.1168,0.028528448558762427,1.058732442584523,1.058732442584523,0.05707238369151568,103.82460000000002,76.4522,27.372400000000013,27.372400000000013,76.4522,103.82460000000002,0.15183539978521837,1.3580328623636555,1.3580328623636555,0.306037227933305,117.2922,132.3983,15.106100000000012,-15.106100000000012,117.2922,132.3983,-0.06049929813108609,1.1287903202429392,0.8859041241466024,-0.12114654625654175,2.1297149230528976,2.731778810812472,0.6020638877595745,-0.6020638877595745,2.1297149230528976,2.731778810812472,-0.12384339479149142,1.2826969380931261,0.7796073805912231,-0.24896484424168563,0,all,layer_29
de,es,0.0,0.0,0.0,0.0,0.0,0.0,0.2649199417758369,0.0631944444444444,0.3720021988717347,0.1192208677699694,46.66157491856247,27.79617793543325,18.865396983129223,18.865396983129223,27.79617793543325,46.66157491856247,0.25337048540965434,1.6787047135382895,1.6787047135382895,0.5180224921926051,1388.7379995252757,918.9209597391788,469.81703978609687,469.81703978609687,918.9209597391788,1388.7379995252757,0.20359032598813762,1.5112703489965509,1.5112703489965509,0.4129505878663382,221.1168,155.70940000000002,65.4074,65.4074,155.70940000000002,221.1168,0.17357444891039905,1.4200607028220427,1.4200607028220427,0.35069961916571124,103.82460000000002,90.4056,13.419000000000011,13.419000000000011,90.4056,103.82460000000002,0.06908812326816294,1.1484310706416292,1.1484310706416292,0.13839672449059037,117.2922,65.30380000000001,51.988399999999984,51.988399999999984,65.30380000000001,117.2922,0.2847181756445908,1.79610068633063,1.79610068633063,0.5856180297399414,2.1297149230528976,1.7223424212659204,0.40737250178697715,0.40737250178697715,1.7223424212659204,2.1297149230528976,0.10575452683425964,1.2365223644008734,1.2365223644008734,0.2123028946750115,0,all,layer_29
de,fr,0.0,0.0,0.0,0.0,0.0,0.0,0.2375545851528384,0.0566666666666666,0.3587624227421314,0.1132881600731056,46.66157491856247,33.1562661065526,13.505308812009872,13.505308812009872,33.1562661065526,46.66157491856247,0.1692016300937054,1.4073229708256998,1.4073229708256998,0.3416892975090229,1388.7379995252757,1024.7063792763029,364.0316202489728,364.0316202489728,1024.7063792763029,1388.7379995252757,0.15083489118143106,1.3552545661968731,1.3552545661968731,0.3039893084179912,221.1168,167.8364,53.280400000000014,53.280400000000014,167.8364,221.1168,0.1369840896025534,1.3174543781920889,1.3174543781920889,0.27570137327565014,103.82460000000002,77.91829999999999,25.90630000000003,25.90630000000003,77.91829999999999,103.82460000000002,0.14254367020664843,1.332480303086678,1.332480303086678,0.2870420950249244,117.2922,89.91810000000001,27.374099999999984,27.374099999999984,89.91810000000001,117.2922,0.13210781510378514,1.3044337013348668,1.3044337013348668,0.2657690012558733,2.1297149230528976,2.154004900004208,0.02428997695131052,-0.02428997695131052,2.1297149230528976,2.154004900004208,-0.005670300102393285,1.0114052715165651,0.9887233418307211,-0.011340721749267701,0,all,layer_29
de,hi,0.0,0.0,0.0,0.0,0.0,0.0,0.1647016011644832,0.0392881944444444,0.312673155127034,0.0951953420545284,46.66157491856247,4.710615348837735,41.95095956972474,41.95095956972474,4.710615348837735,46.66157491856247,0.8166083507703814,9.905621975707595,9.905621975707595,2.293102472293918,1388.7379995252757,569.7133468680054,819.0246526572703,819.0246526572703,569.7133468680054,1388.7379995252757,0.4182001529757685,2.4376083291006774,2.4376083291006774,0.8910173656102884,221.1168,96.76140000000001,124.3554,124.3554,96.76140000000001,221.1168,0.3912045557071847,2.2851757002275463,2.2851757002275463,0.8264429142686422,103.82460000000002,55.472,48.35260000000002,48.35260000000002,55.472,103.82460000000002,0.3035381797226037,1.8716577732909963,1.8716577732909963,0.6268245479300711,117.2922,41.28940000000001,76.00279999999998,76.00279999999998,41.28940000000001,117.2922,0.47926619481705,2.8407339413989336,2.8407339413989336,1.0440624488558718,2.1297149230528976,1.7443286703201302,0.3853862527327674,0.3853862527327674,1.7443286703201302,2.1297149230528976,0.09947906972237301,1.2209367186866324,1.2209367186866324,0.19961836633847319,0,all,layer_29
de,id,0.0,0.0,0.0,0.0,0.0625,0.0,0.1043408192971511,0.0248896329365079,0.2577029399739249,0.0763350918479459,46.66157491856247,11.16097904154046,35.500595877022015,35.500595877022015,11.16097904154046,46.66157491856247,0.6139575900005474,4.180777935778471,4.180777935778471,1.4304973382584594,1388.7379995252757,420.2703230728771,968.4676764523986,968.4676764523986,420.2703230728771,1388.7379995252757,0.5353583310559099,3.3043922525180482,3.3043922525180482,1.1952525691077893,221.1168,68.38289999999999,152.7339,152.7339,68.38289999999999,221.1168,0.527578785055734,3.2335101319188984,3.2335101319188984,1.1735682753212533,103.82460000000002,48.4982,55.32640000000002,55.32640000000002,48.4982,103.82460000000002,0.3632181131124142,2.14079285416774,2.14079285416774,0.7611762530200803,117.2922,19.884699999999995,97.4075,97.4075,19.884699999999995,117.2922,0.710086756589479,5.898615518463649,5.898615518463649,1.7747176654876955,2.1297149230528976,1.4100090312629867,0.7197058917899108,0.7197058917899108,1.4100090312629867,2.1297149230528976,0.20332260398785917,1.5104264411297696,1.5104264411297696,0.4123920223009435,0,all,layer_29
de,it,0.0,0.0,0.0,0.0,0.0,0.0,0.081513828238719,0.0194444444444444,0.2306602811436901,0.0676584386885991,46.66157491856247,27.34306190653131,19.31851301203116,19.31851301203116,27.34306190653131,46.66157491856247,0.2610446296451563,1.706523398076897,1.706523398076897,0.5344582004203104,1388.7379995252757,1085.31105668917,303.4269428361056,303.4269428361056,1085.31105668917,1388.7379995252757,0.12264386677133252,1.2795760173693733,1.2795760173693733,0.24652878663044575,221.1168,176.39159999999998,44.72520000000003,44.72520000000003,176.39159999999998,221.1168,0.11251384876395043,1.253556291796201,1.253556291796201,0.2259845453033087,103.82460000000002,94.074,9.75060000000002,9.75060000000002,94.074,103.82460000000002,0.049270687109458935,1.1036481918489585,1.1036481918489585,0.09862123026637803,117.2922,82.31759999999998,34.97460000000001,34.97460000000001,82.31759999999998,117.2922,0.17521484416095723,1.424873903029226,1.424873903029226,0.3540833207029328,2.1297149230528976,1.875030295299425,0.25468462775347245,0.25468462775347245,1.875030295299425,2.1297149230528976,0.06359571305217615,1.1358296068019882,1.1358296068019882,0.12736331503686782,0,all,layer_29
de,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.3266375545851528,0.0779166666666666,0.3953469242803402,0.1313373859732348,46.66157491856247,85.29625118472661,38.63467626616414,-38.63467626616414,46.66157491856247,85.29625118472661,-0.292780484546046,1.8279762595581193,0.5470530564995953,-0.6032094858350101,1388.7379995252757,1582.7700649985616,194.0320654732859,-194.0320654732859,1388.7379995252757,1582.7700649985616,-0.06529750593302801,1.1397182661809588,0.8774098210699587,-0.13078109693455264,221.1168,265.3564,44.239599999999996,-44.239599999999996,221.1168,265.3564,-0.09093943921268408,1.2000734453465263,0.8332823327419243,-0.1823827593764813,103.82460000000002,77.98259999999999,25.842000000000027,25.842000000000027,77.98259999999999,103.82460000000002,0.1421395852309473,1.3313816158989147,1.3313816158989147,0.28621721199158756,117.2922,187.37380000000002,70.08160000000002,-70.08160000000002,117.2922,187.37380000000002,-0.23002763682196173,1.5974958266619472,0.6259797260876353,-0.46843729484795915,2.1297149230528976,3.4027642063741994,1.2730492833213018,-1.2730492833213018,2.1297149230528976,3.4027642063741994,-0.23010466981244615,1.5977557228621082,0.6258779021663626,-0.46859997136789344,0,all,layer_29
de,zh,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.4573302728324562,0.1090923254985754,0.4199558483793882,0.1527571508515013,46.66157491856247,100.15794847976602,53.49637356120355,-53.49637356120355,46.66157491856247,100.15794847976602,-0.36436825514046195,2.146475952742006,0.4658798989676652,-0.7638274056111181,1388.7379995252757,1177.613024380246,211.12497514502957,211.12497514502957,1177.613024380246,1388.7379995252757,0.08226660078001936,1.1792821332424879,1.1792821332424879,0.1649058916916255,221.1168,190.7283,30.388500000000022,30.388500000000022,190.7283,221.1168,0.07378623662148692,1.1593287414610147,1.1593287414610147,0.14784116646920786,103.82460000000002,52.88629999999999,50.93830000000003,50.93830000000003,52.88629999999999,103.82460000000002,0.32504631139250495,1.9631662642309646,1.9631662642309646,0.6745586107554393,117.2922,137.84199999999998,20.54979999999999,-20.54979999999999,117.2922,137.84199999999998,-0.0805450621672826,1.1752017610719112,0.850917717386567,-0.16143984440595105,2.1297149230528976,3.606383883916939,1.4766689608640413,-1.4766689608640413,2.1297149230528976,3.606383883916939,-0.2574343662053918,1.6933646117977033,0.5905402729171463,-0.5267174442860383,0,all,layer_29
en,de,0.0256410256410256,0.0,0.0,0.0256410256410256,0.0,0.0512820512820512,0.4529971552424817,0.1786338141025641,0.2282809663943931,0.1202170406876035,41.43748475512008,46.66157491856247,5.224090163442391,-5.224090163442391,41.43748475512008,46.66157491856247,-0.05929791058828862,1.1260716038705936,0.8880429952790753,-0.11873511905499479,1216.3906104199775,1388.7379995252757,172.34738910529813,-172.34738910529813,1216.3906104199775,1388.7379995252757,-0.06615695994714056,1.1416875365765866,0.8758963971863563,-0.1325074630920673,208.8505,221.1168,12.266300000000001,-12.266300000000001,208.8505,221.1168,-0.028528448558762427,1.058732442584523,0.9445256986352871,-0.05707238369151568,76.4522,103.82460000000002,27.372400000000013,-27.372400000000013,76.4522,103.82460000000002,-0.15183539978521837,1.3580328623636555,0.7363592058144145,-0.306037227933305,132.3983,117.2922,15.106100000000012,15.106100000000012,117.2922,132.3983,0.06049929813108609,1.1287903202429392,1.1287903202429392,0.12114654625654175,2.731778810812472,2.1297149230528976,0.6020638877595745,0.6020638877595745,2.1297149230528976,2.731778810812472,0.12384339479149142,1.2826969380931261,1.2826969380931261,0.24896484424168563,0,all,layer_29
en,es,0.0256410256410256,0.0,0.0,0.0256410256410256,0.0,0.0512820512820512,0.5176515268800557,0.2041294642857143,0.2291534374364494,0.1264998028915575,41.43748475512008,27.79617793543325,13.641306819686832,13.641306819686832,27.79617793543325,41.43748475512008,0.19703286363250488,1.4907619619996766,1.4907619619996766,0.3992873731376103,1216.3906104199775,918.9209597391788,297.46965068079874,297.46965068079874,918.9209597391788,1216.3906104199775,0.13930971706326986,1.323716253860647,1.323716253860647,0.2804431247742709,208.8505,155.70940000000002,53.141099999999994,53.141099999999994,155.70940000000002,208.8505,0.14576781483646403,1.3412838274375127,1.3412838274375127,0.29362723547419556,76.4522,90.4056,13.953400000000002,-13.953400000000002,76.4522,90.4056,-0.08362449942406,1.1825114254396711,0.8456577911102758,-0.16764050344271464,132.3983,65.30380000000001,67.0945,67.0945,65.30380000000001,132.3983,0.339371711276712,2.0274210689117322,2.0274210689117322,0.7067645759964831,2.731778810812472,1.7223424212659204,1.0094363895465517,1.0094363895465517,1.7223424212659204,2.731778810812472,0.2266297518523759,1.5860834507014177,1.5860834507014177,0.46126773891669715,0,all,layer_29
